id,latitude,longitude,hub_id,driver_id,num_items,created_at,started_at,completed_at
2291,37.79104,-122.42456,8,55,1,3/12/14 2:52,3/12/14 2:53,3/12/14 3:03
2292,37.777583,-122.397481,1,114,2,3/12/14 2:52,3/12/14 2:59,3/12/14 3:10
2293,37.79089,-122.40723,8,120,1,3/12/14 2:53,3/12/14 2:53,3/12/14 3:03
2294,37.77229,-122.44068,5,33,1,3/12/14 2:54,3/12/14 3:06,3/12/14 3:11
2295,37.756535,-122.416686,2,50,2,3/12/14 2:54,3/12/14 3:08,3/12/14 3:11
2296,37.797658,-122.433911,4,123,1,3/12/14 2:55,3/12/14 2:56,3/12/14 3:05
2297,37.79,-122.43263,4,16,1,3/12/14 2:55,3/12/14 3:02,3/12/14 3:12
2298,37.78328,-122.407229,1,38,2,3/12/14 2:55,3/12/14 3:09,3/12/14 3:17
2299,37.77948,-122.46095,7,107,2,3/12/14 2:56,3/12/14 3:01,3/12/14 3:07
2300,37.78627,-122.39372,6,82,2,3/12/14 2:56,3/12/14 3:00,3/12/14 3:15
2301,37.79113,-122.41637,8,30,1,3/12/14 2:56,3/12/14 3:02,3/12/14 3:08
2302,37.79976,-122.42202,4,99,1,3/12/14 2:56,3/12/14 3:06,3/12/14 3:14
2303,37.7982,-122.405509,6,83,1,3/12/14 2:57,3/12/14 3:04,3/12/14 3:25
2304,37.78406,-122.39231,6,82,1,3/12/14 2:57,3/12/14 3:15,3/12/14 3:23
2305,37.758833,-122.415863,2,87,1,3/12/14 2:57,3/12/14 3:01,3/12/14 3:11
2306,37.73945,-122.41897,2,118,4,3/12/14 2:57,3/12/14 3:07,3/12/14 3:18
2307,37.75562,-122.39983,1,46,2,3/12/14 2:57,3/12/14 3:03,3/12/14 3:17
2308,37.801111,-122.416046,4,61,1,3/12/14 2:58,3/12/14 3:03,3/12/14 3:13
2309,37.78386,-122.42438,8,85,2,3/12/14 2:58,3/12/14 3:05,3/12/14 3:13
2310,37.750111,-122.4271,2,63,1,3/12/14 2:59,3/12/14 3:09,3/12/14 3:16
2311,37.76821,-122.421209,5,91,2,3/12/14 2:59,3/12/14 3:07,3/12/14 3:25
2312,37.80034,-122.42495,4,99,1,3/12/14 2:59,3/12/14 3:14,3/12/14 3:19
2313,37.7814,-122.432485,5,39,1,3/12/14 2:59,3/12/14 3:23,3/12/14 3:23
2314,37.79507,-122.44385,4,78,1,3/12/14 3:00,3/12/14 3:06,3/12/14 3:16
2315,37.768045,-122.423981,5,91,1,3/12/14 3:00,3/12/14 3:27,3/12/14 3:40
2316,37.79898,-122.42821,4,99,1,3/12/14 3:00,3/12/14 3:19,3/12/14 3:26
2317,37.767636,-122.43046,5,53,1,3/12/14 3:01,3/12/14 3:17,3/12/14 3:21
2318,37.80182,-122.43662,4,79,1,3/12/14 3:01,3/12/14 3:12,3/12/14 3:19
2319,37.77615,-122.44365,7,98,2,3/12/14 3:01,3/12/14 3:06,3/12/14 3:16
2320,37.782174,-122.422336,8,85,2,3/12/14 3:02,3/12/14 3:13,3/12/14 3:23
2321,37.744305,-122.407101,2,112,1,3/12/14 3:03,3/12/14 3:10,3/12/14 3:24
2322,37.8014,-122.43163,4,79,1,3/12/14 3:03,3/12/14 3:19,3/12/14 3:25
2323,37.753072,-122.44262,2,119,1,3/12/14 3:04,3/12/14 3:14,3/12/14 3:28
